a,0
f,0
i,0
e,0
h,0
g,0
c,0
b,0
d,0
c,0
d,0
i,0
b,0
g,0
e,0
h,0
f,0
g,0
b,0
h,0
c,0
b,0
i,0
g,0
e,0
j,0
e,0
c,0
b,0
c,0
i,0
e,0
c,0
k,0
g,0
d,0
i,0
b,0
c,0
b,0
e,0
c,0
i,0
b,0
d,0
k,0
e,0
i,0
c,0
c,0
k,0
e,0
i,0
d,0
k,0
e,0
e,0
b,0
h,0
e,0
c,0
k,0
j,0
e,0
g,0
b,0
i,0
j,0
b,0
c,0
i,0
c,0
d,0
k,0
c,0
g,0
l,0
d,0
b,0
i,0
b,0
j,0
c,0
g,0
e,0
i,0
c,0
b,0
g,0
e,0
c,0
b,0
k,0
j,0
k,0
d,0
g,0
k,0
e,0
b,0
i,0
f,0
b,0
e,0
l,0
e,0
m,0
c,0
d,0
k,0
h,0
e,0
l,0
m,0
l,0
h,0
c,0
k,0
i,0
b,0
d,0
b,0
e,0
k,0
c,0
l,0
k,0
m,0
n,0
l,0
c,0
d,0
m,0
e,0
d,0
l,0
f,0
k,0
m,0
o,0
